Date,open,high,low,close
2009-12-01,29.52,30.05,29.41,30.01
2009-12-02,29.90,29.99,29.65,29.78
2009-12-03,29.84,30.20,29.76,29.83
2009-12-04,30.05,30.37,29.83,29.98
2009-12-07,29.78,30.08,29.68,29.79
2009-12-08,29.52,29.74,29.38,29.57
2009-12-09,29.47,29.81,29.25,29.71
2009-12-10,29.71,29.96,29.66,29.87
2009-12-11,29.97,30.00,29.79,29.85
2009-12-14,29.91,30.16,29.90,30.11
2009-12-15,29.89,30.21,29.88,30.02
2009-12-16,30.07,30.41,30.04,30.10
2009-12-17,29.95,29.96,29.57,29.60
2009-12-18,29.84,30.45,29.80,30.36
2009-12-21,30.40,30.84,30.37,30.52
2009-12-22,30.60,30.93,30.54,30.82
2009-12-23,30.71,30.95,30.69,30.92
2009-12-24,30.88,31.00,30.76,31.00
2009-12-28,31.00,31.18,30.89,31.17
2009-12-29,31.35,31.50,31.23,31.39
2009-12-30,31.15,31.29,30.80,30.96
2009-12-31,30.98,30.99,30.48,30.48
